movies	recommendation
"Wings of the Dove, The (1997)
Jerry Maguire (1996)
Good Will Hunting (1997)
Star Wars (1977)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Godfather: Part II, The (1974)
Bourne Identity, The (2002)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Spawn (1997)
Kolya (1996)
Mrs. Dalloway (1997)
Keys to Tulsa (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Apt Pupil (1998)
 Saint, The (1997)"	"LEGO Batman: The Movie - DC Heroes Unite (2013)
Harold & Kumar Escape from Guantanamo Bay (2008)
The Mule (2014)
Madhouse (1990)
"
"Willy Wonka and the Chocolate Factory (1971)
 Shawshank Redemption, The (1994)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"L.A. Confidential (1997)
English Patient, The (1996)
Boogie Nights (1997)
Full Monty, The (1997)"	"Reservoir Dogs (1992)
Star Wars: Episode IV - A New Hope (1977)
Fargo (1996)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"When Harry Met Sally... (1989)
 GoodFellas (1990)"	"E.T. the Extra-Terrestrial (1982)
Breakfast Club, The (1985)
Groundhog Day (1993)
Forrest Gump (1994)
"
"Raising Arizona (1987)
 GoodFellas (1990)"	"The Thinning (2016)
London Has Fallen (2016)
Pride and Prejudice and Zombies (2016)
[REC]³ 3 Génesis (2012)
"
"Twister (1996)
Mr. Holland's Opus (1995)
Jerry Maguire (1996)
Star Wars (1977)"	"Mission: Impossible (1996)
Independence Day (a.k.a. ID4) (1996)
Toy Story (1995)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Star Maps (1997)
Life Less Ordinary, A (1997)
Starship Troopers (1997)
Ma vie en rose (My Life in Pink) (1997)"	"Gladiator (2000)
Star Wars: Episode IV - A New Hope (1977)
Matrix, The (1999)
Lord of the Rings: The Two Towers, The (2002)
"
"Toy Story (1995)
Rudy (1993)
Adventures of Robin Hood, The (1938)
My Fair Lady (1964)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Citizen Kane (1941)
 Killing Fields, The (1984)"	"Silence of the Lambs, The (1991)
Star Wars: Episode IV - A New Hope (1977)
Fargo (1996)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Toy Story (1995)
Some Like It Hot (1959)
My Fair Lady (1964)
Apollo 13 (1995)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Primal Fear (1996)
Fargo (1996)
Contact (1997)
Leaving Las Vegas (1995)"	"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Pulp Fiction (1994)
Star Wars: Episode V - The Empire Strikes Back (1980)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Portrait of a Lady, The (1996)
Contact (1997)
Crash (1996)
Fifth Element, The (1997)"	"Indiana Jones and the Temple of Doom (1984)
Star Wars: Episode V - The Empire Strikes Back (1980)
Terminator 2: Judgment Day (1991)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Toy Story (1995)
 English Patient, The (1996)
 People vs. Larry Flynt, The (1996)"	"Ghostbusters (a.k.a. Ghost Busters) (1984)
Star Wars: Episode VI - Return of the Jedi (1983)
Indiana Jones and the Last Crusade (1989)
Star Wars: Episode IV - A New Hope (1977)
"
"Soul Food (1997)
 Love! Valour! Compassion! (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Peacemaker, The (1997)
 Titanic (1997)"	"Like Crazy (2011)
Get Low (2009)
Sweet Charity (1969)
Who's That Girl? (1987
"
"Three Colors: Red (1994)
 Piano, The (1993)
 All About Eve (1950)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Heat (1995)
 English Patient, The (1996)"	"Star Wars: Episode IV - A New Hope (1977)
Saving Private Ryan (1998)
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Usual Suspects, The (1995)
"
"To Kill a Mockingbird (1962)
Schindler's List (1993)
Seventh Seal, The (Sjunde inseglet, Det) (1957)
Secret of Roan Inish, The (1994)"	"Star Wars: Episode V - The Empire Strikes Back (1980)
Forrest Gump (1994)
Godfather, The (1972)
Memento (2000)
"
"Eye for an Eye (1996)
Family Thing, A (1996)
Nutty Professor, The (1996)
Matilda (1996)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Blade Runner (1982)
Glengarry Glen Ross (1992)
Reservoir Dogs (1992)
2001: A Space Odyssey (1968)"	"Pulp Fiction (1994)
Usual Suspects, The (1995)
Star Wars: Episode V - The Empire Strikes Back (1980)
Seven (a.k.a. Se7en) (1995)
"
"Washington Square (1997)
 U Turn (1997)"	"Striptease (1996)
Stonewall (2015)
The Gift (2015)
Pink Floyd: The Wall (1982)
"
"Saint, The (1997)
 Fallen (1998)
 Conspiracy Theory (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Shawshank Redemption, The (1994)
Kicking and Screaming (1995)
Better Off Dead... (1985)
Empire Strikes Back, The (1980)"	"Matrix, The (1999)
Star Wars: Episode V - The Empire Strikes Back (1980)
Kill Bill: Vol. 2 (2004)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Birdcage, The (1996)
 Jerry Maguire (1996)"	"Mission: Impossible (1996)
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Independence Day (a.k.a. ID4) (1996)
Pulp Fiction (1994)
"
"In & Out (1997)
 Mad City (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Contact (1997)
Postino, Il (1994)
Romy and Michele's High School Reunion (1997)
Saint, The (1997)"	"Star Wars: Episode V - The Empire Strikes Back (1980)
Star Wars: Episode IV - A New Hope (1977)
Star Wars: Episode VI - Return of the Jedi (1983)
Matrix, The (1999)
"
"Toy Story (1995)
Black Sheep (1996)
Lost Highway (1997)
Othello (1995)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Brazil (1985)
 Annie Hall (1977)
 In the Company of Men (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Searching for Bobby Fischer (1993)
Raising Arizona (1987)
Glory (1989)
E.T. the Extra-Terrestrial (1982)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Indiana Jones and the Temple of Doom (1984)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Indiana Jones and the Last Crusade (1989)
"
"Spice World (1997)
 Saint, The (1997)"	"Man Who Fell to Earth, The (1976)
Fool's Gold (2008)
Madhouse (1990)
Vanya on 42nd Street (1994)
"
"Conan the Barbarian (1981)
Empire Strikes Back, The (1980)
Clerks (1994)
Much Ado About Nothing (1993)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Star Wars: Episode IV - A New Hope (1977)
Star Wars: Episode V - The Empire Strikes Back (1980)
Fargo (1996)
"
"Toy Story (1995)
Godfather, The (1972)
Leaving Las Vegas (1995)
Fargo (1996)"	"Lord of the Rings: The Return of the King, The (2003)
Star Wars: Episode V - The Empire Strikes Back (1980)
Godfather: Part II, The (1974)
Star Wars: Episode IV - A New Hope (1977)
"
"Phenomenon (1996)
 My Best Friend's Wedding (1997)"	"Fugitive, The (1947)
Mermaids (1990)
Baby, The (1973)
Marked for Death (1990)
"
"Toy Story (1995)
 Cyrano de Bergerac (1990)"	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Bridge on the River Kwai, The (1957)
Local Hero (1983)
Rebel Without a Cause (1955)
African Queen, The (1951)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Blade Runner (1982)
Schindler's List (1993)
Sling Blade (1996)
Bullets Over Broadway (1994)"	"2001: A Space Odyssey (1968)
Matrix, The (1999)
Star Wars: Episode V - The Empire Strikes Back (1980)
Forrest Gump (1994)
"
"Empire Strikes Back, The (1980)
Kama Sutra: A Tale of Love (1996)
Mallrats (1995)
Farewell My Concubine (1993)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Little Women (1994)
Conspiracy Theory (1997)
Devil's Own, The (1997)
Anastasia (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"12 Angry Men (1957)
As Good As It Gets (1997)
Wedding Singer, The (1998)
Wag the Dog (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"McHale's Navy (1997)
 Flubber (1997)
 Jungle2Jungle (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Toy Story (1995)
 As Good As It Gets (1997)"	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Apollo 13 (1995)
 Truth About Cats & Dogs, The (1996)"	"True Lies (1994)
Crimson Tide (1995)
Fugitive, The (1993)
Speed (1994)
"
"Spitfire Grill, The (1996)
2001: A Space Odyssey (1968)
Lawrence of Arabia (1962)
Godfather, The (1972)"	"Lord of the Rings: The Return of the King, The (2003)
Star Wars: Episode V - The Empire Strikes Back (1980)
Godfather: Part II, The (1974)
Star Wars: Episode IV - A New Hope (1977)
"
"Fargo (1996)
 People vs. Larry Flynt, The (1996)"	"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Pulp Fiction (1994)
Star Wars: Episode V - The Empire Strikes Back (1980)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Time to Kill, A (1996)
Return of the Jedi (1983)
Lost World: Jurassic Park, The (1997)
Fifth Element, The (1997)"	"Indiana Jones and the Temple of Doom (1984)
Star Wars: Episode V - The Empire Strikes Back (1980)
Terminator 2: Judgment Day (1991)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"English Patient, The (1996)
 Face/Off (1997)"	"Road Home, The (Wo de fu qin mu qin) (1999)
Roger & Me (1989)
Django Unchained (2012)
Parallax View, The (1974)
"
"People vs. Larry Flynt, The (1996)
 Star Wars (1977)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
Toy Story (1995)	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Chasing Amy (1997)
Fargo (1996)
Chasing Amy (1997)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Pulp Fiction (1994)
Star Wars: Episode V - The Empire Strikes Back (1980)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Magnificent Seven, The (1954)
Nikita (La Femme Nikita) (1990)
Unbearable Lightness of Being, The (1988)
Cinema Paradiso (1988)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Desperate Measures (1998)
Deceiver (1997)
George of the Jungle (1997)
Assignment, The (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"American Werewolf in London, An (1981)
Taxi Driver (1976)
Game, The (1997)
Cop Land (1997)"	"Fargo (1996)
Godfather, The (1972)
Goodfellas (1990)
Pulp Fiction (1994)
"
"Star Wars (1977)
Edge, The (1997)
Phenomenon (1996)
Toy Story (1995)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Notorious (1946)
 2001: A Space Odyssey (1968)"	"Johnny Belinda (1948)
Woman in Red, The (1984)
High and Low (Tengoku to jigoku) (1963)
Angel Baby (1995)
"
"Boogie Nights (1997)
Die Hard (1988)
When Harry Met Sally... (1989)
Jerry Maguire (1996)"	"Pulp Fiction (1994)
Star Wars: Episode VI - Return of the Jedi (1983)
Star Wars: Episode IV - A New Hope (1977)
Terminator, The (1984)
"
"Primal Fear (1996)
 Forrest Gump (1994)"	"Santa Clause 3: The Escape Clause, The (2006)
Thumbelina (1994)
Haunted World of El Superbeasto, The (2009)
Breach (2007)
"
"Wrong Trousers, The (1993)
 Godfather, The (1972)
 Lone Star (1996)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Wedding Singer, The (1998)
Air Force One (1997)
Murder at 1600 (1997)
Good Will Hunting (1997)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Godfather: Part II, The (1974)
Bourne Identity, The (2002)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Rock, The (1996)
 Face/Off (1997)
 Con Air (1997)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Star Wars: Episode IV - A New Hope (1977)
Men in Black (a.k.a. MIB) (1997)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Wrong Trousers, The (1993)
Amadeus (1984)
Bottle Rocket (1996)
Donnie Brasco (1997)"	"Fargo (1996)
Godfather, The (1972)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Pulp Fiction (1994)
"
"While You Were Sleeping (1995)
Heathers (1989)
Sleepers (1996)
Godfather, The (1972)"	"Lord of the Rings: The Return of the King, The (2003)
Star Wars: Episode V - The Empire Strikes Back (1980)
Godfather: Part II, The (1974)
Star Wars: Episode IV - A New Hope (1977)
"
"Unbearable Lightness of Being, The (1988)
 Day the Earth Stood Still, The (1951)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
Bulletproof (1996)
Liar Liar (1997)
Bogus (1996)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Apt Pupil (1998)
Independence Day (ID4) (1996)
Georgia (1995)
Good Will Hunting (1997)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Godfather: Part II, The (1974)
Bourne Identity, The (2002)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Apt Pupil (1998)
 In & Out (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Pulp Fiction (1994)
M*A*S*H (1970)
Some Like It Hot (1959)
Lawrence of Arabia (1962)"	"Lord of the Rings: The Two Towers, The (2002)
Kill Bill: Vol. 1 (2003)
Seven (a.k.a. Se7en) (1995)
Fight Club (1999)
"
"Killing Fields, The (1984)
Amistad (1997)
Apostle, The (1997)
Rainmaker, The (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"To Kill a Mockingbird (1962)
Silence of the Lambs, The (1991)
12 Angry Men (1957)
Batman (1989)"	"Pulp Fiction (1994)
Lord of the Rings: The Fellowship of the Ring, The (2001)
Lord of the Rings: The Return of the King, The (2003)
American History X (1998)
"
"Snow White and the Seven Dwarfs (1937)
 Wallace & Gromit: The Best of Aardman Animation (1996)
 Taxi Driver (1976)"	"Beauty and the Beast (1991)
Lion King, The (1994)
Aladdin (1992)
Forrest Gump (1994)
"
"Wrong Trousers, The (1993)
 Chasing Amy (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
